latimes_make_and_model,total_hours
AGuSTA 109,362172
airbus 130,1053786
AIrBuS 135,884596
Airbus 350,3883490
bELL 206,5501308
bElL 407,2113788
hughes 369,1201688
MCDONNELl DOUGLAS 369,550689
robiNsoN R22,2970806
robinson R44,2359729
schWEIZer 269,1139326
SIKORSKy 76,915515
