event_id,ntsb_make,ntsb_model,ntsb_number,year,date,city,state,country,total_fatalities,pilot_total,latimes_make,latimes_model,latimes_make_and_model
20121010X41638,BELL,206B,CEN13FA009,2012,10/10/12 00:00:00,CROWLEY,LA,USA,1,1,BELL,206,BELL 206
20130222X12624,EUROCOPTER,AS 350 B2,CEN13FA174,2013,02/22/13 00:00:00,OKLAHOMA CITY,OK,USA,2,1,AIRBUS,350,AIRBUS 350
20140127X44720,BELL,206L 3,CEN14FA122,2014,01/27/14 00:00:00,SILT,CO,USA,3,1,BELL,206,BELL 206
20091012X15520,MCDONNELL DOUGLAS HELI CO,369FF,WPR10FA012,2009,10/12/09 00:00:00,FOSSIL,OR,USA,1,1,MCDONNELL DOUGLAS,369,MCDONNELL DOUGLAS 369
20161116X00108,HUGHES,369D/500D,WPR17FA021,2016,11/15/16 00:00:00,PUKOO,HI,USA,2,1,HUGHES,369,HUGHES 369
20140523X44003,ROBINSON HELICOPTER,R22 BETA,WPR14FA203,2014,05/23/14 00:00:00,SANTA PAULA,CA,USA,1,1,ROBINSON,R22,ROBINSON R22
20080529X00746,AEROSPATIALE,AS-350-D,SEA08MA136,2008,05/24/08 00:00:00,AVALON,CA,USA,3,1,AIRBUS,350,AIRBUS 350
20131009X50051,BELL,206L 3,CEN14FA004,2013,10/09/13 00:00:00,"VENICE, LA",GM,USA,1,1,BELL,206,BELL 206
20061222X01838,BELL,407,NYC07FA048,2006,12/14/06 00:00:00,DAGSBORO,DE,USA,2,1,BELL,407,BELL 407
20121010X63824,BELL,407,ERA13FA014,2012,10/09/12 00:00:00,COOLBAUGH TOWNSHIP,PA,USA,2,1,BELL,407,BELL 407
20130331X41252,EUROCOPTER,AS350,ANC13GA036,2013,03/30/13 00:00:00,TALKEETNA,AK,USA,3,1,AIRBUS,350,AIRBUS 350
20140318X21532,EUROCOPTER,AS 350 B2,WPR14FA137,2014,03/18/14 00:00:00,SEATTLE,WA,USA,2,1,AIRBUS,350,AIRBUS 350
20080819X01260,ROBINSON HELICOPTER,R22 BETA II,SEA08FA185,2008,08/17/08 00:00:00,OLALLA,WA,USA,1,1,ROBINSON,R22,ROBINSON R22
20160326X80544,EUROCOPTER,AS 350 B2,ERA16FA140,2016,03/26/16 00:00:00,ENTERPRISE,AL,USA,4,1,AIRBUS,350,AIRBUS 350
20101015X73141,BELL,206B,CEN11GA020,2010,10/15/10 00:00:00,CLARKSON VALLEY,MO,USA,1,1,BELL,206,BELL 206
20080715X01051,BELL,407,DEN08MA116,2008,06/29/08 00:00:00,FLAGSTAFF,AZ,USA,7,1,BELL,407,BELL 407
20080715X01051,BELL,407,DEN08MA116,2008,06/29/08 00:00:00,FLAGSTAFF,AZ,USA,7,1,BELL,407,BELL 407
