event_id,aircraft_id,ntsb_make,ntsb_model,ntsb_number,year,date,city,state,country,total_fatalities,in_usa,pilot_total,latimes_make,latimes_model,count,latimes_make_and_model
20100817X84118,1,ROBINSON,R44,ERA10WA428,2010,08/12/10 00:00:00,MILAZZO,,IT,4.0,False,1.0,ROBINSON,R44,75.0,ROBINSON R44
20131009X50051,1,BELL,206L 3,CEN14FA004,2013,10/09/13 00:00:00,"VENICE, LA",GM,USA,1.0,True,1.0,BELL,206,3.0,BELL 206
20001211X09959,1,HUGHES,269A,SEA98LA063,1998,04/10/98 00:00:00,EMMETT,ID,USA,1.0,True,1.0,HUGHES,269,11.0,HUGHES 269
20001211X14348,1,ROBINSON,R-22 BETA,SEA92LA055,1992,03/06/92 00:00:00,OXBOW,OR,USA,1.0,True,1.0,ROBINSON,R22,17.0,ROBINSON R22
20051023X01707,1,AUGUSTA,109E,NYC06MA005,2005,10/07/05 00:00:00,SMETHPORT,PA,USA,1.0,True,1.0,AGUSTA,109,1.0,AGUSTA 109
20070927X01463,1,FAIRCHILD HILLER,FH-1100,DFW07FA198,2007,09/12/07 00:00:00,HOSSTON,LA,USA,2.0,True,1.0,FAIRCHILD/HILLER,FH-1100,12.0,FAIRCHILD/HILLER FH-1100
20030117X00083,1,BELL,206L-1,CHI03FA056,2003,01/16/03 00:00:00,B.S. 53,LA,USA,1.0,True,1.0,BELL,206,33.0,BELL 206
20001211X10554,1,BELL,47G,FTW98FA306,1998,07/10/98 00:00:00,JONES,OK,USA,2.0,True,1.0,BELL,47,12.0,BELL 47
20001206X01863,1,BELL,206B III,SEA94FA190,1994,07/24/94 00:00:00,SYRACUSE,UT,USA,1.0,True,1.0,BELL,206,8.0,BELL 206
20030909X01489,1,SIKORSKY,S-76B,WAS01WA015,2001,07/05/01 00:00:00,P'OHANG,,KS,8.0,False,1.0,SIKORSKY,76,2.0,SIKORSKY 76
20010813X01666,1,BELL,206B,IAD01FA089,2001,08/01/01 00:00:00,BALTIMORE,MD,USA,2.0,True,1.0,BELL,206,112.0,BELL 206
20001212X16367,1,MBB,BK 117 B-1,NYC91FA067,1991,01/26/91 00:00:00,SONESTOWN,PA,USA,4.0,True,1.0,MBB,117,1.0,MBB 117
20060119X00089,1,MCDONNELL DOUGLAS,369FF,LAX06FA069,2005,12/25/05 00:00:00,LIHUE,HI,USA,1.0,True,1.0,MCDONNELL DOUGLAS,369,4.0,MCDONNELL DOUGLAS 369
20001214X39260,1,AEROSPATIALE,AS 355F,FTW84FA189,1984,04/04/84 00:00:00,W CAMERON 540,GM,,4.0,False,1.0,AIRBUS,355,2.0,AIRBUS 355
20001208X07954,1,BELL,206B,LAX97LA185,1997,05/18/97 00:00:00,HILO,HI,USA,1.0,True,1.0,BELL,206,112.0,BELL 206
20001206X00636,1,BELL,206B,LAX94LA090,1994,01/04/94 00:00:00,COOLIDGE DAM,AZ,USA,1.0,True,1.0,BELL,206,112.0,BELL 206
20001213X26486,1,MCDONNELL DOUGLAS,269B,CHI88FA190,1988,08/02/88 00:00:00,BRACEVILLE,IL,USA,2.0,True,1.0,MCDONNELL DOUGLAS,269,1.0,MCDONNELL DOUGLAS 269
20001212X19645,1,SCHWEIZER,269C,SEA99FA168,1999,08/07/99 00:00:00,WESTPORT,OR,USA,1.0,True,1.0,SCHWEIZER,269,16.0,SCHWEIZER 269
20160216X34107,1,BELL,206,ERA16WA107,2016,02/06/16 00:00:00,BEJUCAL,,VE,1.0,False,1.0,BELL,206,32.0,BELL 206
20051018X01683,1,BELL,206-L3,DFW06FAMS1,2005,10/06/05 00:00:00,GULF OF MEXICO,,USA,3.0,True,1.0,BELL,206,3.0,BELL 206
20001213X29711,1,HUGHES,369D,SEA90FA005,1989,10/13/89 00:00:00,BOTHELL,WA,USA,1.0,True,1.0,HUGHES,369,36.0,HUGHES 369
20090622X25719,1,EUROCOPTER,AS350B2,CEN09WA370,2009,04/08/09 00:00:00,CUBIRI,,MX,3.0,False,1.0,AIRBUS,350,4.0,AIRBUS 350
20110713X53504,1,ROBINSON,R66,ERA11RA398,2011,07/12/11 00:00:00,GIRARDOT,,CO,2.0,False,1.0,ROBINSON,R66,10.0,ROBINSON R66
20180816X02340,1,ROBINSON,R22,WPR18WA225,2018,08/15/18 00:00:00,QUEENSTOWN,FN,SF,1.0,False,,ROBINSON,R22,45.0,ROBINSON R22
20030103X00010,1,ROBINSON,R22 BETA,LAX03FA054,2002,12/23/02 00:00:00,DOLAN SPRINGS,AZ,USA,2.0,True,1.0,ROBINSON,R22,22.0,ROBINSON R22
20001212X20004,1,BELL,206B,MIA00FA003,1999,10/05/99 00:00:00,CENTREVILLE,AL,USA,2.0,True,1.0,BELL,206,112.0,BELL 206
20001214X43375,1,BELL,212,LAX83FA277,1983,06/10/83 00:00:00,GOLETA,CA,USA,2.0,True,1.0,BELL,212,16.0,BELL 212
20060531X00648,1,HUGHES,269A,CHI06LA138,2006,05/28/06 00:00:00,BERLIN CENTER,OH,USA,1.0,True,1.0,HUGHES,269,11.0,HUGHES 269
20061222X01838,1,BELL,407,NYC07FA048,2006,12/14/06 00:00:00,DAGSBORO,DE,USA,2.0,True,1.0,BELL,407,32.0,BELL 407
20001211X13417,1,ROBINSON,R22 BETA,LAX93FA369,1993,09/24/93 00:00:00,WILDOMAR,CA,USA,2.0,True,1.0,ROBINSON,R22,22.0,ROBINSON R22
20121010X63824,1,BELL,407,ERA13FA014,2012,10/09/12 00:00:00,COOLBAUGH TOWNSHIP,PA,USA,2.0,True,1.0,BELL,407,32.0,BELL 407
20001212X17861,1,BELL,412,FTW91FA155,1991,08/26/91 00:00:00,GARDEN BANKS,GM,,1.0,False,1.0,BELL,412,9.0,BELL 412
20131122X51319,1,BELL,212 - NO SERIES,WPR13WA433,2013,09/29/13 00:00:00,"MURBAD, THANE DISTRICT, INDIA",,IN,5.0,False,,BELL,212,1.0,BELL 212
20001214X37880,1,BELL,206B,NYC85FA245,1985,09/22/85 00:00:00,CHALKHILL,PA,USA,1.0,True,1.0,BELL,206,112.0,BELL 206
20180118X03803,1,BELL,UH-1H,CEN18FA078,2018,01/17/18 00:00:00,RATON,NM,USA,5.0,True,1.0,BELL,UH-1,17.0,BELL UH-1
20001214X38910,1,SIKORSKY,S-61L,SEA84FA048,1984,02/05/84 00:00:00,MEDFORD,OR,USA,1.0,True,1.0,SIKORSKY,61,1.0,SIKORSKY 61
